,gene_symbol,entrez_id
818,FANCF,2188
819,MEF2D,4209
820,JUND,3727
821,FOSL1,8061
822,TOMM70,9868
823,ELF3,1999
824,MYB,4602
825,FSCN1,6624
826,KLF5,688
827,ITGAX,3687
828,KHSRP,8570
829,YBX1,4904
830,HMOX1,3162
831,RRAD,6236
832,CUL5,8065
833,TPH1,7166
834,WWC1,23286
835,ILF3,3609
836,LMNB1,4001
837,CHD4,1108
838,IFITM3,10410
839,KPNB1,3837
840,PPIA,5478
841,POLR2L,5441
842,POLR2K,5440
843,POLR2J,5439
844,POLR2I,5438
845,POLR2H,5437
846,POLR2G,5436
847,POLR2F,5435
848,POLR2E,5434
849,POLR2D,5433
850,POLR2C,5432
851,POLR2B,5431
852,FANCB,2187
853,FAAP20,199990
854,FAAP100,80233
855,SOD3,6649
856,SOX2,6657
857,CEBPA,1050
858,OTOF,9381
859,LAMTOR5,10542
860,LAMTOR4,389541
861,LAMTOR1,55004
862,LAMTOR2,28956
863,CENPX,201254
864,CENPS,378708
865,ISG15,9636
866,MX2,4600
867,MX1,4599
868,IFIT1,3434
869,USF2,7392
870,KDM4B,23030
871,TLR7,51284
872,RELB,5971
873,IFNA13,3447
874,HSPA8,3312
875,TUBB8,347688
876,TUBB8B,260334
877,ZMYM2,7750
878,MYO18A,399687
879,FGFR1OP2,26127
880,CUX1,1523
881,CEP43,11116
882,MYBL2,4605
883,RBBP4,5928
884,PRDM1,639
885,VENTX,27287
886,TLE4,7091
887,TLE2,7089
888,TLE3,7090
889,VGF,7425
890,MEF2C,4208
891,TFF1,7031
892,RBBP7,5931
893,IRF5,3663
894,TRIM4,89122
895,ZBP1,81030
896,XPO1,7514
897,TIFA,92610
898,CEBPD,1052
899,BATF,10538
900,HSPA2,3306
901,HSPA1L,3305
902,HSPA1B,3304
903,STRAP,11171
904,JUNB,3726
905,FURIN,5045
906,ZC3HC1,51530
907,FOXO6,100132074
908,SLC38A9,153129
909,SFTPD,6441
910,SP100,6672
911,SREBF2,6721
912,SP7,121340
913,NR4A3,8013
914,KCTD6,200845
915,TRIM21,6737
916,FABP7,2173
917,PPIG,9360
918,RHOD,29984
919,MMP3,4314
920,MTA1,9112
921,SP3,6670
922,PPIH,10465
923,RNF2,6045
924,RING1,6015
925,RNASEL,6041
926,OAS3,4940
927,OAS2,4939
928,OAS1,4938
929,HLA-DRB5,3127
930,HLA-DRB4,3126
931,HLA-DRB3,3125
932,HLA-DRB1,3123
933,HLA-DRA,3122
934,HLA-DQB2,3120
935,HLA-DQB1,3119
936,HLA-DQA1,3117
937,HLA-DQA2,3118
938,HLA-DPB1,3115
939,HLA-DPA1,3113
940,ID4,3400
941,MECOM,2122
942,PPIB,5479
943,PANX1,24145
944,PSMC6,5706
945,PSMB8,5696
946,ZNF217,7764
947,REST,5978
948,PRF1,5551
949,BCL2A1,597
950,HES5,388585
951,PTCRA,171558
952,DLGAP5,9787
953,HEYL,26508
954,SUGT1,10910
955,SLC7A11,23657
956,RNF7,9616
957,ATF6,22926
958,MTA3,57504
959,MTA2,9219
960,ALOX5,240
961,PRR5,55615
962,ETS1,2113
963,ERF,2077
964,FKBP4,2288
965,SPHK1,8877
966,NCOA6,23054
967,CDKN1C,1028
968,H1-5,3009
969,GNA15,2769
970,GNA14,9630
971,TFF3,7033
972,IGFBP1,3484
973,KLF4,9314
974,ILF2,3608
975,NAB2,4665
976,NAB1,4664
977,TRIB1,10221
978,CLEC1B,51266
979,FAM20C,56975
980,EP400,57634
981,NBEA,26960
982,EXOSC9,5393
983,EXOSC8,11340
984,EXOSC7,23016
985,EXOSC6,118460
986,EXOSC5,56915
987,EXOSC4,54512
988,EXOSC3,51010
989,EXOSC2,23404
990,EXOSC1,51013
991,H1-4,3008
992,H1-3,3007
993,H1-2,3006
994,H1-1,3024
995,H1-0,3005
996,FOSB,2354
997,TFAP2D,83741
998,GREB1,9687
999,SOCS5,9655
1000,HSP90B1,7184
1001,ENTPD1,953
1002,LBP,3929
1003,PTAFR,5724
1004,EBAG9,9166
1005,CXXC5,51523
1006,FOXA1,3169
1007,MT2A,4502
1008,SOD1,6647
1009,TNIK,23043
1010,MINK1,50488
1011,ALPK1,80216
1012,CITED1,4435
1013,ALOX15,246
1014,HIRA,7290
1015,HMGA2,8091
1016,IFITM1,8519
1017,ELF2,1998
1018,ELF1,1997
1019,CABIN1,23523
1020,CTBP2,1488
1021,CTCF,10664
1022,UBN1,29855
1023,GGCX,2677
1024,TKT,7086
1025,IP6K2,51447
1026,ENTPD5,957
1027,TKFC,26007
1028,ATP1B4,23439
1029,G6PD,2539
1030,CHD9,80205
1031,KDM6B,23135
1032,ZFPM2,23414
1033,CXCR4,7852
1034,PRKDC,5591
1035,TFAP2A,7020
1036,TEAD4,7004
1037,TBXT,6862
1038,GATA6,2627
1039,FOXA2,3170
1040,AGO2,27161
1041,POU2F2,5452
1042,MEF2A,4205
1043,LDB1,8861
1044,NR0B2,8431
1045,HNF4A,3172
1046,FBXW11,23291
1047,CARD11,84433
1048,PRKCB,5579
1049,UBXN1,51035
1050,NKX2-5,1482
1051,NGLY1,55768
1052,NFKBIE,4794
1053,E2F6,1876
1054,CSNK2A2,1459
1055,COMMD6,170622
1056,BTRC,8945
1057,BCL10,8915
1058,AZIN1,51582
1059,RASGRP3,25780
1060,RASGRP1,10125
1061,REL,5966
1062,OAZ3,51686
1063,OAZ2,4947
1064,OAZ1,4946
1065,PSMF1,9491
1066,PSME4,23198
1067,PSME3,10197
1068,PSME2,5721
1069,PSME1,5720
1070,PSMD9,5715
1071,PSMD8,5714
1072,PSMD7,5713
