SW2	SW3	SW4	SW5	SW6	SW7	SW8	SW9	SW10	SW11	SW12	SW13
PPP2R5A	1	1	1	1	1	1	1	1	1	1	1	1
PPP2R1B	1	1	1	1	1	1	1	1	1	1	1	1
PPP2R1A	1	1	1	1	1	1	1	1	1	1	1	1
PPP2CB	1	1	1	1	1	1	1	1	1	1	1	1
PPP2CA	1.01251415102949	1.25334999066788	1	1.00511952517366	1.02320018617737	1	1	1	1.01532757764283	1	1	1
CUL1	1.01236847879238	1	1.04193851629621	1.00775073500142	1	1.08406100984133	1.14765018669954	1.00008202156482	1	1	1.14902257571908	1
ELOC	1.01479760900547	1.05023235169446	1	1	1.09517154738741	1.30915678889204	1	1	1.00020484747227	1	1.16523533420221	1.05396241823103
ELOB	1	1.06421534107175	1	1.00257286640451	1.19694281203176	1	1	1	1.0108386650343	1	1.53594446233244	1.0398127913505
CDK9	1	1	1	1	1	1	1	1	1	1	1	1
PPARG	1	1.16354155178796	1	1	1	1.02631372203385	1	1	1	1	1.00535303187657	1
PRKACG	1	1	1	1	1	1	1	1	1	1	1	1
PRKACB	1	1	1	1	1	1	1	1	1	1	1	1
PRKACA	1	1	1.18893541906781	1.00813485889138	1.06588934477847	1	1.10586162958784	1	1	1	1.27456575084485	1
TNF	1.47604678230094	1	1	1	1	1.42562933139658	1	1	1.00027745076211	1	1.13658662300262	1.22859539715232
IHH	1	1	1	1	1	1	1	1	1	1	1	1
GHR	1	1	1	1	1	1	1	1	1	1	1	1
ERBB4	1	1	1	1	1	1	1	1	1	1	1	1
PPP3R1	1	1	1	1	1	1	1	1	1	1	1	1
PPP3CA	1	1	1	1	1	1	1	1	1	1	1	1
YY1	1.05190681066572	1.07360049910306	1	1.13276633105437	1	1.04405168517597	1.23277595629421	1	1.00693386638915	1	1.0438116831336	1.01368926000067
RBX1	1	1.34447615386	1.01781102418768	1.0124811500119	1	1.34676144288937	1	1.00007757393089	1.40401643435729	1	1.00770712820957	1.919861266302
PPARD	1.3099611315646	1.06573787750356	1.02366839320488	1	1	1.07697002969043	1.55253590287952	1.13935868622562	1	1	1.15380865592684	1
CXCL12	1.51322536901087	1	1.23446479523515	1.00856997477992	1	1	1.86346640994563	1	1.01061342404066	1	1	2.62654185726645
CCL2	2.34100003449917	1	1.02360778509113	1.04646509387815	1	1.15510169910819	1.03535450873027	1	1.31996996518809	1	1.20035720010137	2.81349721202053
CCL22	1	1	1	1	1	1	1	1	1	1	1	1
CCL11	1	1	1	1	1	1	1	1	1	1	1	1
CXCL8	1.24951948458031	1	1	1	1	2.04110356865238	1.57701362106995	1	1.00021223747537	1	3.14282348770564	1.36154387051915
SNW1	1	1	1	1	1	1	1	1	1	1	1	1
DDX5	1	1	1	1	1	1	1	1	1	1	1	1
KAT5	1.362360784492	1	1.2622188740104	1.10736072273394	1	1.08306127389751	1.44471054005472	1.13990698446334	1	1	1.44338366934796	1
CHEK2	1	1	1	1	1	1	1	1	1	1	1	1
SRC	1.04164999177902	1.17512907284428	1.85602356419578	1.00867180801247	1	1.03756499046278	1.01579663077856	1.00008856549141	1	1	1.47344052098002	1.70550091364578
PTK2	1	1	1.16244283732402	1.01612377978104	1.13866986372842	1	1	1.0000772874887	1	1	1	1.11736710929425
NCK1	1	1	1	1	1	1	1	1	1	1	1	1
FYN	1	1	1	1	1	1	1	1	1	1	1	1
CTNNB1	2.91886274460577	1	1.79302415333703	1.16413854494771	1.00435204584658	1	1.23198611815376	1	1.04001499310551	1	1.17757076099258	2.97509413960117
CDKN1B	1	1	1	1	1	1	1	1	1	1	1	1
CDKN1A	1.00546468575373	1.05181813579355	1.03558590040577	1	1	1.13176808359485	1.02432906049327	1.08481214006382	1	1	1.15978516592151	1.01833487452176
CDK6	1	1	1	1	1	1	1	1	1	1	1	1
KRAS	1	1	1	1	1	1	1	1	1	1	1	1
HRAS	1.06216488772656	1.14505746377673	1	1.00040222519936	1.98387149957957	1.00301398067709	1	1	1.01849551947317	1	1.31324457112518	1
FLNA	1.92822782390072	1.00794435894357	1.05847060492852	1.03606662849877	1.11138484058109	1	1.48105938768422	1	1.00023754924422	1.01577098677861	1	2.42650840555576
NCOA2	1	1	1.29992905888622	1	1	1.02888387021758	1.19121430033016	1.09247603347325	1	1	1.05737987114215	1
NCOA1	1	1	1.2622188740104	1	1	1.30496284313792	1	1.04280787712416	1	1	1.05151941454862	1
GRB2	1.61655744479826	1.36758293293031	1	1.00122957894293	1	1.17846557833118	1.01446979961518	1	1.00021911350355	1	1	1.01595386492838
