SW2	SW3	SW4	SW5	SW6	SW7	SW8	SW9	SW10	SW11	SW12	SW13
NCK1	1	1	1	1	1	1	1	1	1	1	1	1
FYN	1	1	1	1	1	1	1	1	1	1	1	1
CTNNB1	1	1.16745196989739	1	1	1	1.18567424681381	1	1.00467604608804	1	1	1	1
CDKN1B	1	1	1	1	1	1	1	1	1	1	1	1
CDKN1A	1	1	1	1.00861818353293	1.02913217409798	1	1	1	1.0002531615655	1	1	1
CDK6	1	1	1	1	1	1	1	1	1	1	1	1
KRAS	1	1	1	1	1	1	1	1	1	1	1	1
HRAS	1	1	1.40036019163739	1	1	1	1.30894344827119	1.00008770249442	1	1	1	1.01009941540466
FLNA	1	1	1	1	1	1.21858488431779	1	1.01576670042458	1	1	1.07230000303125	1
NCOA2	1.46644344438126	1.04572873883067	1	1.15435278842055	1.17687164208209	1	1	1	1.16497790619199	1	1	2.05772541854774
NCOA1	1.1237551831033	1.35916409563422	1	1.42686062623707	1.25326301953092	1	1.02921205272664	1	1.18652909087464	1	1	1.42036455047266
GRB2	1	1	1.34858773033523	1	1.29561042582476	1	1	1.00007750827027	1	1	1.0560114700229	1
EREG	1	1.00687563307863	1.14256294642703	1.00264442146126	1	2.21159144233586	1	1	1	1	1.47744848563848	1.14954232969582
EPGN	1	1	1	1	1	1	1	1	1	1	1	1
UBE2I	1	1	1	1	1	1	1	1	1	1	1	1
MDM2	1	1.52519512598101	1	1.05309136421118	1	1	1.07548665606514	1	1.00023899571216	1.01448506506853	1	1
KPNA2	1	1	1	1	1.7991302520375	1	1.07747441861287	1	1.00023980941628	1	1	1.3088886090744
KPNA1	1	1	1	1	1	1	1	1	1	1	1	1
IRF7	1	1	1	1	1.07152422281243	1	1	1	1	1	1	1
IRF3	1	1	1	1	1.18371883307504	1	1	1.3739486357551	1	1	1	1
HSPA1A	1	1	1	1	1	1	1	1	1	1	1	1
MUC1	1	1	1	1	1	1	1	1	1	1	1	1
MMP9	1	1	1.0072418694953	1.00399203261379	1.37184600197277	1	1	1	1	1	1	1.02605023960641
MMP2	1	1.02012016234511	1	1	1	2.46942975883006	1	1	1.00022753572184	1	1.10874799358325	1
MMP1	1	1	1	1	1	1	1	1	1	1	1	1
WWTR1	1	1	1	1	1	1	1	1	1	1	1	1
USP9X	1	1	1	1	1	1	1	1	1	1	1	1
USP1	1	1	1	1	1	1	1	1	1	1	1	1
USP18	1	1	1	1	1	1	1	1	1	1	1	1
USP15	1.24001887516788	1	1.49561929109737	1.00776765406618	1	1.35431633496121	1	1.00008016346605	1.00020291487736	1	1.05039849594662	1
USP14	1	1	1	1	1	1	1	1	1	1	1	1
USF1	1	1.06573787750356	1	1	1	1.02888387021758	1	1.02487786305498	1	1	1.04649085897068	1
UHMK1	1	1	1.37765566185174	1.00122911977855	1	1	1.42495911170605	1.00007962570384	1	1.01342297896925	1.00157310364765	1.12794449113925
UCHL5	1	1	1	1	1	1	1	1	1	1	1	1
UBE2V1	1	1	1	1	1	1	1	1	1	1	1	1
