nes_SW2	fdr_SW2	nes_SW3	fdr_SW3	nes_SW4	fdr_SW4	nes_SW5	fdr_SW5	nes_SW6	fdr_SW6	nes_SW7	fdr_SW7	nes_SW8	fdr_SW8	nes_SW9	fdr_SW9	nes_SW10	fdr_SW10	nes_SW11	fdr_SW11	nes_SW12	fdr_SW12	nes_SW13	fdr_SW13
DLX5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
DLX6	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
DMAP1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
DMBX1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
DMRT1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
DMRT3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
DMRTA1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
DMRTA2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
DMTF1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
DNAJC1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
DNAJC2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
DNMT1	2.98043181077359	0.0103893085400938	-1.39789527494375	0.567505812275334	1.38319841409859	0.481069153621051	0.507448554118975	0.826520870454422	2.13086690829099	0.201563482361311	-0.493044461844145	0.825733624553008	1.24406155218966	0.46019258564584	-0.859883888708684	0.818883144028813	0.45031976687998	0.927206604812381	-1.31123876488997	0.992648160101677	1.49947335392203	0.302906396319473	2.15969941241192	0.103099473816189
DNMT3A	-0.137948433400815	0.930565387896366	1.34414636385936	0.571699907186552	0.184957171853802	0.92957292113974	0.187590037530846	0.922103641854861	-1.79567518054057	0.316191890805874	-1.38341831176302	0.447325158045788	0.746227511080135	0.692285711383448	-0.205173100305351	0.944010067247366	-0.296407424581025	0.943643377014614	0.34733131009088	0.992648160101677	0.555812684277349	0.742201605542873	-1.17658769445789	0.392143161740422
DNMT3B	1.52669057447587	0.231604825128311	0.346548189069681	0.91999376729026	-1.27384527739404	0.515242052286874	1.1979811385584	0.535366272167956	1.77937777245471	0.321594127965748	-2.13010661112022	0.207043506019934	1.10107021820086	0.517108004541304	-1.60510920657651	0.534461095337403	1.34237487762881	0.640425931312974	-0.419520113472458	0.992648160101677	0.338046831529188	0.849303720474712	0.590980226797881	0.66371646475252
DNMT3L	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
DOT1L	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
DPF3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
DR1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
DRAP1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
DRGX	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
DTX1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
DUX4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
