gene_symbol	entrez_id
721		124905693
722		124905699
723	PAXBP1	94104
724	U1	124904613
725	U1	124905321
726	U1	124905573
727	U1	124905574
728	U1	124905808
729	U1	124905809
730	KRTAP1-1	81851
731		728279
732	C21orf62	56245
733	KRTAP4-11	653240
734	KRTAP2-5P	NA
735	KRTAP1-3	81850
736	KRTAP4-16	85354
737	KRT12	3859
738	C21orf62-AS1	NA
739	KCNIP4	80333
740	KRTAP1-5	83895
741		105374516
742	KRT39	390792
743	KRTAP3-4P	NA
744	KRTAP2-1	81872
745	MEGF11	84465
746	RPL4P5	NA
747	KRTAP3-3	85293
748	KRTAP2-3	730755
749	KRTAP4-12	83755
750	KRTAP1-4	728255
751		100996750
752	KRTAP4-8	728224
753	RPS6P22	NA
754	LRIG3-DT	NA
755	ABR	29
756	SERF1B	8293
757	SERF1B	728492
758	DIS3L-AS1	NA
759	KIR2DL5A	124900572
760	LMNTD2	256329
761	GOLGA8F	100132565
762	CYP2D8P	NA
763	NAIP	4671
764	NDUFA6-DT	NA
765	OLA1P1	NA
766	NDUFA6	4700
767	MIR210HG	100506211
768	TNFRSF14	8764
769	HERC2P11	NA
770	MUC20	200958
771	SMDT1	91689
772	RNH1	6050
773	GOLGA8G	283768
774	CYP2D6	1565
775	LINC00824	NA
776	MUC4	4585
777		101929829
778	MREGP1	NA
779	MCCC2	64087
780	TCF20	6942
781	SINHCAF	58516
782	ABCB10P4	NA
783	KCNQ2-AS1	NA
784	GOLGA6L25	100132202
785	KCNQ2	3785
786	HERC2	8924
787	BDP1	55814
788	FLJ13224	79857
789	CYP2D7	NA
790	TTC34	100287898
791	MMEL1	79258
792	ICE2P1	NA
793	DRD4	1815
794	LINC01060	401164
795	IFITM4P	NA
796	ZNF90P2	NA
797	OR11A1	26531
798	DEAF1	10522
799	OR2B3	442184
800	HLA-G	3135
801	RPL7AP27	NA
802	TIMM22	29928
803	NXN	64359
804	IRF7	3665
805	OR2AS2P	NA
806	OR2T6	254879
807	OR2T2	401992
808	OR2J3	442186
809	OR2T4	127074
810	RPS17P1	NA
811	OR5V1	81696
812	OR2T7	81458
813	OR2T1	26696
814	OR2T3	343173
815	MICD	NA
816	OR2G1P	NA
817	LILRA4	23547
818	OR14J1	442191
819	WASF5P	NA
820	OR2T5	401993
821	SMN1	6606
822	PTMAP1	NA
823	LINC03003	101929006
824	LY6G6F	259215
825	NOP56P1	NA
826	LINC02569	NA
827	TMEM183AP1	NA
828	LAIR1	3903
829	PSORS1C1	170679
830	OR2J4P	NA
831		124901296
832	HCG18	414777
833	OR8U9	504190
834	OR8J2	81169
835	FAM8A2P	NA
836	NAA50P1	NA
837	OR8U8	504189
838	OR8L1P	NA
839	HLA-T	NA
840	OR5T3	390154
841	OR2W1	26692
842	CLK2	1196
843	OR5T2	219464
844	PPP1R11	6992
845	LINC02197	NA
846	OR8K2P	NA
847	OR8I1P	NA
848	OR8K3	219473
849	OR8H1	219469
850	SERF1A	8293
851	HCG14	414760
852	MAS1LP1	NA
853	HCG4	NA
854	SUMO2P1	NA
855	OR5T1	390155
856	MDC1-AS1	106478956
857	MMEL1-AS1	NA
858	POLR1HASP	80862
859	RPL5P29	NA
860	PANK4	55229
861	OR8K1	390157
862	OR8J1	219477
863	DDR1-DT	NA
864	LINC01623	NA
865	NEU1	4758
866	HRAS	3265
867	OR2U1P	NA
868	OR2N1P	NA
869	ZNF311	282890
870	RPL7P4	NA
871	TRIM31-AS1	104533120
872	OR2AD1P	NA
873	PMCHL2	5370
874	MAS1L	116511
875	RPL7AP7	NA
876	LTB	4050
877	OR2H2	7932
878	LINC00533	387055
879	OR2U2P	NA
880	LINC01556	NA
881	ATAT1	79969
882	LINC01015	100507362
883	APOM	55937
884	KIR3DX1	NA
885	ZFP57	346171
886	LILRB2	10288
887	OR2H4P	NA
888	TRIM26BP	NA
889	MUC22	100507679
890	RPS9	6203
891	RPL13AP	NA
892	RPSAP2	NA
893	GNL1	2794
894	PPP1R10	5514
895	PKLR	5313
896	TRIM10	10107
897	TMPOP1	NA
898	PSMB9	5698
899	VSTM1	284415
900	MBOAT7	79143
901	SNTB2	6645
902	LMNTD2-AS1	692247
903	PLCH2	9651
904	UTP4	84916
905	RASSF7	8045
906	C4B_2	100293534
907	OR2J1	442185
908	RPL13P	NA
909	OR2I1P	442197
910	TSBP1-AS1	414764
911	MTX1P1	NA
912	SCAMP3	10067
913	HLA-B	3106
914	GABBR1	2550
915	LAIR2	3904
916	CDHR5	53841
917	MRPS18B	28973
918	HES5	388585
919	LILRB4	11006
920	TNFRSF14-AS1	NA
921	HCG17	414778
922	NLRP2	55655
923	PRXL2B	127281
924	CTSO	1519
925	GBA1	2629
926	HLA-W	NA
927	HCG4B	NA
928	HCG27	253018
929	UGT2A3	79799
930	NRM	11270
931	CNOT3	4849
932	PSMB1	5689
933	ASIC5	51802
934	FAM120B	84498
935	TDO2	6999
936	NDUFA3	4696
937	UGT2B27P	101929773
938	UGT2B29P	NA
939	UGT2B10	7365
940	LY6G5C	80741
941	LILRA6	79168
942	UGT2B15	7366
943	MT2P1	NA
944	HSPA1A	3303
945	TMPRSS11E	28983
946	MAFIP	727764
947	LENG1	79165
948	OR2P1P	NA
949	UBDP1	NA
950	OR2H5P	NA
951	HLA-F-AS1	285830
952		9437
953	HSPA1L	3305
954	ABHD16A	7920
955	GPSM3	63940
956	HNRNPA1P2	NA
957	STK19	8859
958	RNA5-8SN4	109864274
959	RNA5-8SN4	124900510
960	RNA5-8SN4	124907114
961	RNA5-8SN4	124907115
962	RNA5-8SN4	124907116
963	RNA5-8SN4	124907117
964	RNA5-8SN4	124907118
965	RNA5-8SN4	124907119
966	RNA5-8SN4	124907120
967	RNA5-8SN4	124907121
968	RNA5-8SN4	124907122
969	RNA5-8SN4	124907123
970	RNA5-8SN4	124907124
971	RNA5-8SN4	124907125
972	RNA5-8SN4	124907126
973	RNA5-8SN4	124907127
974	RNA5-8SN4	124907128
975	RNA5-8SN4	124907129
976	RNA5-8SN4	124907130
977	RNA5-8SN4	124907131
978	RNA5-8SN4	124907132
979	RNA5-8SN4	124907133
980	RNA5-8SN4	124907134
981	RNA5-8SN4	124907135
982	RNA5-8SN4	124907136
983	RNA5-8SN4	124907137
984	RNA5-8SN4	124907138
985	RNA5-8SN4	124907139
986	RNA5-8SN4	124907140
987	RNA5-8SN4	124907141
988	RNA5-8SN4	124907142
989	RNA5-8SN4	124907143
990	RNA5-8SN4	124907144
991	RNA5-8SN4	124907145
992	RNA5-8SN4	124907146
993	RNA5-8SN4	124907147
994	RNA5-8SN4	124907148
995	RNA5-8SN4	124907149
996	RNA5-8SN4	124907150
997	RNA5-8SN4	124907151
998	RNA5-8SN4	124907152
999	RNA5-8SN4	124907153
1000	RNA5-8SN4	124907154
1001	RNA5-8SN4	124907155
1002	RNA5-8SN4	124907160
1003	RNA5-8SN4	124907172
1004	RNA5-8SN4	124907183
1005	RNA5-8SN4	124907194
1006	RNA5-8SN4	124907205
1007	RNA5-8SN4	124907216
1008	RNA5-8SN4	124907227
1009	RNA5-8SN4	124907238
1010	RNA5-8SN4	124907248
1011	RNA5-8SN4	124907258
