nes_NAS_1_vs_NAS_0	fdr_NAS_1_vs_NAS_0	nes_NAS_2_vs_NAS_1	fdr_NAS_2_vs_NAS_1	nes_NAS_3_vs_NAS_2	fdr_NAS_3_vs_NAS_2	nes_NAS_4_vs_NAS_3	fdr_NAS_4_vs_NAS_3	nes_NAS_5_vs_NAS_4	fdr_NAS_5_vs_NAS_4	nes_NAS_6_vs_NAS_5	fdr_NAS_6_vs_NAS_5	nes_NAS_7_vs_NAS_6	fdr_NAS_7_vs_NAS_6
E2F2	-0.330181383902223	0.89321949000788	-1.0194500109782	0.773242128867977	1.45369174578586	0.978420451943337	-0.615850423062328	0.69210368066977	2.00723054712295	0.145514124246403	0.0865607837975174	0.984194289847463	2.81677206369748	0.101868771375584
E2F3	0.241830834194246	0.902409652210158	-1.00236949864205	0.773242128867977	0.80007275496877	0.978420451943337	-0.684908606354345	0.669411677090801	2.49907155621512	0.0552351455863807	-0.222016031326656	0.976172081720909	2.75527083682089	0.104205111818684
E2F4	0.928059899804087	0.595839206372512	-0.875598499078963	0.822203281210393	1.67403736347446	0.978420451943337	1.88587128037062	0.173432175693338	0.882685598976539	0.573558053531852	1.27646068752855	0.962321347823288	1.52453269647627	0.420788878544681
E2F5	1	1	1	1	1	1	1	1	1	1	1	1	1	1
E2F6	1	1	1	1	1	1	1	1	1	1	1	1	1	1
E2F7	1	1	1	1	1	1	1	1	1	1	1	1	1	1
E2F8	1	1	1	1	1	1	1	1	1	1	1	1	1	1
E4F1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EBF1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EBF2	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EBF3	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EGR1	4.08224986378473	0.00128787715111708	-0.126378087724882	0.966397351123826	0.506452587232854	0.978420451943337	3.07108729044246	0.01698891796751	3.17565122534624	0.0101572450245493	0.730037006873729	0.962321347823288	2.78192746438529	0.104021448261385
EGR2	0.631295645855381	0.766872395653447	1.31576464919932	0.649051552828829	-0.650911263245137	0.978420451943337	1.41450605563315	0.337961307305225	0.985927719334194	0.505965829518421	-0.242116482387233	0.976172081720909	1.22215407020829	0.540978198094148
EGR3	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EGR4	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EHF	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EID1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EID2B	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ELF1	1.98452896604788	0.201146197857909	1.40361262234339	0.597746905470603	-1.09996245346974	0.978420451943337	1.59250400944442	0.282163952849537	1.54914124947695	0.280323623403547	-1.84167796532903	0.962321347823288	1.36533567160326	0.503368217548963
ELF2	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ELF3	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ELF4	0.877051713850546	0.612341349478121	1.5647613896623	0.555832123856062	-1.3770627316881	0.978420451943337	2.84737266431867	0.0261099450806627	2.52600783773236	0.0522544227746953	0.244771242631059	0.976172081720909	1.67177093759985	0.367698618679038
ELF5	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ELK1	1.29601907160585	0.409434720234382	-0.597682588364408	0.907585380053808	-0.145975347553641	0.978420451943337	1.41482514363199	0.337961307305225	0.403739367287014	0.81549675609875	0.756607479496434	0.962321347823288	1.66704159264137	0.367698618679038
ELK3	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ELK4	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EMX1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EMX2	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EN1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EN2	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ENO1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EOMES	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EP300	-1.46874707646517	0.348715151238231	1.44022625651737	0.597746905470603	-1.16125851210085	0.978420451943337	0.203841482892723	0.896704970160436	0.447403112082557	0.797517719426363	0.228672938784631	0.976172081720909	0.677025813858151	0.766139087023093
EPAS1	1.64681150180857	0.288362719141774	0.476828625364555	0.928846269587052	0.548499977897179	0.978420451943337	0.4512045222407	0.79669596189278	-1.43925254561428	0.312326531437258	-1.08641986347888	0.962321347823288	2.69011326880307	0.108138836470701
ERF	1	1	1	1	1	1	1	1	1	1	1	1	1	1
